STATIONS_ID;MESS_DATUM;  QN;DS_10;GS_10;SD_10;LS_10;eor
       1420;202001031840;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031850;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031900;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031910;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031920;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031930;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031940;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031950;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032000;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032010;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032020;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032030;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032040;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032050;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032100;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032110;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032120;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032130;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032140;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032150;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032200;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032210;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032220;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032230;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032240;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032250;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032300;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032310;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032320;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032330;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032340;    3;  -999;  -999;   0.000;-999;eor
       1420;202001032350;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040000;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040010;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040020;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040030;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040040;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040050;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040100;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040110;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040120;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040130;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040140;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040150;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040200;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040210;    3;  -999;  -999;   0.000;-999;eor
       1420;202001040220;    3;  -999;  -999;   0.000;-999;eor
